FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Class
50.0,39.0,90.0,2335.9,58.0,-72.25,120.0,1
50.0,39.0,90.0,2335.9,58.0,-57.16,120.0,1
50.0,39.0,90.0,2335.9,58.0,-44.69,120.0,1
50.0,39.0,80.0,2335.9,58.0,-44.69,120.0,1
50.0,39.0,80.0,2335.9,58.0,-41.91,120.0,1
50.0,39.0,80.0,2335.9,58.0,-39.09,120.0,1
50.0,39.0,80.0,2335.9,56.0,-39.09,120.0,1
50.0,39.0,80.0,2335.9,58.0,-38.18,120.0,1
50.0,39.0,80.0,2335.9,56.0,-36.56,120.0,1
25.0,39.0,80.0,2335.9,56.0,-36.56,120.0,1
50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,1
50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,1
50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,1
50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,1
50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,1
50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,1
50.0,43.0,54.0,2609.3,73.0,-56.38,120.0,1
50.0,43.0,54.0,2609.3,73.0,-55.87,120.0,1
50.0,43.0,54.0,2609.3,73.0,-60.5,120.0,1
50.0,43.0,57.0,2609.3,73.0,-60.5,120.0,1
50.0,43.0,62.0,2609.3,73.0,-60.5,120.0,1
50.0,43.0,62.0,2609.3,73.0,-66.93,120.0,1
50.0,43.0,62.0,2609.3,73.0,-68.7,120.0,1
50.0,43.0,62.0,2609.3,73.0,-66.94,120.0,1
50.0,43.0,62.0,2609.3,73.0,-67.94,120.0,1
50.0,43.0,67.0,2609.3,73.0,-67.94,120.0,1
50.0,43.0,68.0,2609.3,73.0,-67.94,120.0,1
50.0,43.0,68.0,2609.3,73.0,-73.39,120.0,1
50.0,43.0,75.0,2609.3,73.0,-73.39,120.0,1
50.0,43.0,75.0,2609.3,73.0,-79.16,120.0,1
50.0,43.0,75.0,2609.3,73.0,-79.94,120.0,1
50.0,43.0,75.0,2609.3,73.0,-79.16,120.0,1
50.0,43.0,75.0,2609.3,73.0,-77.61,120.0,1
50.0,43.0,75.0,2609.3,73.0,-78.63,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,75.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,80.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,90.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,90.0,2609.3,73.0,-79.45,120.0,1
50.0,43.0,90.0,2609.3,73.0,-74.46,120.0,1
50.0,43.0,90.0,2609.3,73.0,-72.94,120.0,1
50.0,43.0,90.0,2609.3,73.0,-68.55,120.0,1
50.0,43.0,90.0,2609.3,73.0,-67.8,120.0,1
50.0,43.0,90.0,2609.3,73.0,-69.39,120.0,1
50.0,43.0,90.0,2609.3,73.0,-67.8,120.0,1
50.0,43.0,90.0,2609.3,73.0,-70.15,120.0,1
50.0,43.0,90.0,2609.3,73.0,-77.77,120.0,1
50.0,43.0,90.0,2609.3,73.0,-78.02,120.0,1
50.0,43.0,90.0,2609.3,73.0,-72.56,120.0,1
50.0,43.0,90.0,2609.3,73.0,-73.3,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.65,120.0,1
50.0,43.0,90.0,2609.3,73.0,-75.66,120.0,1
50.0,43.0,90.0,2609.3,73.0,-77.4,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-76.89,120.0,1
50.0,43.0,90.0,2609.3,73.0,-73.97,120.0,1
50.0,43.0,90.0,2609.3,73.0,-74.74,120.0,1
50.0,43.0,90.0,2609.3,73.0,-78.04,120.0,1
50.0,43.0,90.0,2609.3,73.0,-79.29,120.0,1
50.0,43.0,90.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,105.0,2609.3,73.0,-80.0,120.0,1
50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,1
50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,1
50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,1
50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,1
50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,1
50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,1
50.0,43.0,105.0,2609.3,73.0,-70.66,125.0,1
50.0,43.0,105.0,2609.3,73.0,-74.45,125.0,1
50.0,43.0,105.0,2609.3,73.0,-80.0,125.0,1
25.0,43.0,105.0,2609.3,73.0,-80.0,125.0,1
25.0,43.0,105.0,2609.3,73.0,-79.5,125.0,1
25.0,43.0,105.0,2609.3,73.0,-74.18,125.0,1
25.0,43.0,105.0,2609.3,73.0,-74.71,125.0,1
25.0,43.0,105.0,2609.3,73.0,-80.0,125.0,1
25.0,43.0,105.0,2609.3,73.0,-45.0,125.0,1
25.0,43.0,105.0,2609.3,73.0,-80.0,85.0,1
50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,55.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,56.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,58.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,60.0,-79.99,120.0,1
50.0,39.0,105.0,2078.95,62.0,-79.99,120.0,1
50.0,39.0,110.0,2078.95,62.0,-79.99,120.0,1
50.0,39.0,110.0,2078.95,62.0,-79.46,120.0,1
50.0,39.0,110.0,2078.95,62.0,-78.09,120.0,1
50.0,39.0,110.0,2078.95,62.0,-78.96,120.0,1
50.0,39.0,110.0,2078.95,64.0,-78.09,120.0,1
50.0,39.0,110.0,2078.95,64.0,-79.99,120.0,1
50.0,39.0,110.0,2078.95,64.0,-79.23,120.0,1
50.0,39.0,110.0,2078.95,65.0,-79.23,120.0,1
50.0,39.0,110.0,2078.95,64.0,-77.83,120.0,1
50.0,39.0,110.0,2078.95,65.0,-79.9,120.0,1
50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,104.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,110.0,2078.95,65.0,-79.74,120.0,1
50.0,39.0,110.0,2078.95,65.0,-79.74,125.0,1
50.0,39.0,115.0,2078.95,65.0,-79.74,125.0,1
50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,1
50.0,39.0,140.0,2566.67,63.0,-89.0,125.0,1
50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,1
50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,1
50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,1
50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,1
50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,1
50.0,39.0,140.0,2571.79,63.0,-89.0,125.0,1
50.0,39.0,140.0,2561.54,63.0,-89.0,125.0,1
50.0,39.0,140.0,2556.41,63.0,-89.0,125.0,1
50.0,39.0,140.0,2551.28,63.0,-89.0,125.0,1
50.0,39.0,140.0,2546.15,63.0,-89.0,125.0,1
50.0,39.0,140.0,2541.03,63.0,-89.0,125.0,1
50.0,39.0,140.0,2535.9,63.0,-89.0,125.0,1
50.0,39.0,140.0,2530.77,63.0,-89.0,125.0,1
50.0,39.0,140.0,2525.64,63.0,-89.0,125.0,1
50.0,39.0,140.0,2525.64,63.0,-45.0,125.0,1
50.0,39.0,104.0,2525.64,63.0,-45.0,125.0,1
50.0,39.0,104.0,2525.64,63.0,-45.0,120.0,1
50.0,39.0,104.0,2525.64,63.0,-46.45,120.0,1
50.0,39.0,104.0,2525.64,65.0,-45.0,120.0,1
50.0,39.0,104.0,2525.64,65.0,-88.63,120.0,1
50.0,39.0,110.0,2525.64,65.0,-88.63,120.0,1
50.0,39.0,115.0,2525.64,65.0,-88.63,120.0,1
50.0,39.0,115.0,2523.08,65.0,-88.63,120.0,1
50.0,39.0,120.0,2523.08,65.0,-88.63,120.0,1
50.0,39.0,120.0,2517.95,65.0,-88.63,120.0,1
50.0,39.0,120.0,2512.82,65.0,-88.63,120.0,1
50.0,39.0,120.0,2507.69,65.0,-88.63,120.0,1
50.0,39.0,120.0,2502.56,65.0,-88.63,120.0,1
50.0,39.0,120.0,2497.44,65.0,-88.63,120.0,1
50.0,39.0,120.0,2492.31,65.0,-88.63,120.0,1
50.0,39.0,120.0,2487.18,65.0,-88.63,120.0,1
50.0,39.0,120.0,2476.92,65.0,-88.63,120.0,1
50.0,39.0,120.0,2471.79,65.0,-88.63,120.0,1
50.0,39.0,120.0,2466.67,65.0,-88.63,120.0,1
50.0,39.0,120.0,2461.54,65.0,-88.63,120.0,1
50.0,39.0,120.0,2456.41,65.0,-88.63,120.0,1
50.0,39.0,120.0,2451.28,65.0,-88.63,120.0,1
50.0,39.0,120.0,2451.28,65.0,-88.63,125.0,1
50.0,39.0,120.0,2446.15,65.0,-88.63,125.0,1
50.0,39.0,120.0,2441.03,65.0,-88.63,125.0,1
50.0,39.0,120.0,2435.9,65.0,-88.63,125.0,1
50.0,39.0,120.0,2430.77,65.0,-88.63,125.0,1
50.0,39.0,120.0,2420.51,65.0,-88.63,125.0,1
50.0,39.0,120.0,2415.38,65.0,-88.63,125.0,1
50.0,39.0,120.0,2415.38,65.0,-88.63,120.0,1
50.0,39.0,120.0,2415.38,65.0,-88.69,120.0,1
50.0,39.0,120.0,2415.38,65.0,-88.12,120.0,1
50.0,39.0,120.0,2415.38,35.0,-88.12,120.0,1
50.0,39.0,120.0,2415.38,35.0,-74.37,120.0,1
50.0,39.0,120.0,2415.38,35.0,-71.71,120.0,1
50.0,39.0,120.0,2415.38,35.0,-67.83,120.0,1
50.0,39.0,120.0,2415.38,35.0,-67.8,120.0,1
50.0,39.0,120.0,2415.38,35.0,-69.11,120.0,1
50.0,39.0,120.0,2415.38,38.0,-67.8,120.0,1
50.0,39.0,120.0,2415.38,38.0,-69.99,120.0,1
50.0,39.0,120.0,2415.38,38.0,-69.72,120.0,1
50.0,39.0,120.0,2415.38,38.0,-71.06,120.0,1
50.0,39.0,120.0,2415.38,38.0,-70.57,120.0,1
50.0,39.0,120.0,2415.38,44.0,-70.57,120.0,1
50.0,39.0,120.0,2415.38,38.0,-71.87,120.0,1
50.0,39.0,120.0,2415.38,44.0,-71.38,120.0,1
50.0,39.0,120.0,2415.38,47.0,-71.87,120.0,1
50.0,39.0,120.0,2415.38,47.0,-72.73,120.0,1
50.0,39.0,120.0,2415.38,47.0,-72.76,120.0,1
50.0,39.0,120.0,2415.38,65.0,-72.76,120.0,1
50.0,39.0,120.0,2415.38,47.0,-80.86,120.0,1
50.0,39.0,120.0,2415.38,65.0,-88.93,120.0,1
50.0,39.0,120.0,2415.38,65.0,-89.0,120.0,1
50.0,39.0,120.0,2415.38,35.0,-89.0,120.0,1
50.0,39.0,120.0,2415.38,35.0,-75.81,120.0,1
50.0,39.0,120.0,2415.38,35.0,-74.49,120.0,1
50.0,39.0,120.0,2415.38,35.0,-69.54,120.0,1
50.0,39.0,120.0,2415.38,35.0,-68.8,120.0,1
50.0,39.0,120.0,2415.38,35.0,-61.29,120.0,1
50.0,39.0,120.0,2415.38,35.0,-62.45,120.0,1
50.0,39.0,120.0,2415.38,38.0,-61.29,120.0,1
50.0,39.0,120.0,2415.38,38.0,-60.21,120.0,1
50.0,39.0,120.0,2415.38,38.0,-59.42,120.0,1
50.0,39.0,120.0,2415.38,38.0,-59.31,120.0,1
50.0,39.0,120.0,2415.38,41.0,-59.42,120.0,1
50.0,39.0,120.0,2415.38,41.0,-60.57,120.0,1
50.0,39.0,120.0,2415.38,41.0,-59.72,120.0,1
50.0,39.0,120.0,2415.38,44.0,-59.72,120.0,1
50.0,39.0,120.0,2415.38,47.0,-59.72,120.0,1
50.0,39.0,120.0,2415.38,47.0,-59.69,120.0,1
50.0,39.0,120.0,2415.38,47.0,-67.73,120.0,1
50.0,39.0,120.0,2415.38,65.0,-59.69,120.0,1
50.0,39.0,120.0,2415.38,65.0,-75.44,120.0,1
50.0,39.0,120.0,2415.38,65.0,-77.92,120.0,1
50.0,39.0,120.0,2415.38,65.0,-70.0,120.0,1
50.0,39.0,120.0,2415.38,65.0,-70.0,130.0,1
50.0,39.0,120.0,2415.38,65.0,-75.0,130.0,1
50.0,39.0,120.0,2415.38,65.0,-75.0,125.0,1
50.0,39.0,120.0,2415.38,65.0,-75.0,130.0,1
50.0,39.0,120.0,2415.38,35.0,-75.0,130.0,1
50.0,39.0,120.0,2415.38,38.0,-75.0,130.0,1
50.0,41.0,102.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,102.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,102.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,102.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,102.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,102.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,102.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,85.0,2363.41,65.0,-45.0,85.0,1
50.0,41.0,85.0,2363.41,64.0,-45.0,85.0,1
50.0,41.0,85.0,2363.41,65.0,-45.0,120.0,1
50.0,41.0,85.0,2363.41,64.0,-45.29,120.0,1
50.0,41.0,85.0,2363.41,64.0,-88.65,120.0,1
50.0,41.0,85.0,2363.41,64.0,-89.0,120.0,1
50.0,41.0,85.0,2363.41,64.0,-77.08,120.0,1
50.0,41.0,85.0,2363.41,37.0,-89.0,120.0,1
50.0,41.0,85.0,2363.41,37.0,-75.16,120.0,1
50.0,41.0,85.0,2363.41,37.0,-72.67,120.0,1
50.0,41.0,85.0,2363.41,37.0,-74.04,120.0,1
50.0,41.0,85.0,2363.41,40.5,-72.67,120.0,1
50.0,41.0,85.0,2363.41,40.5,-68.94,120.0,1
50.0,41.0,85.0,2363.41,40.5,-70.38,120.0,1
50.0,41.0,85.0,2363.41,47.5,-70.38,120.0,1
50.0,41.0,85.0,2363.41,40.5,-66.87,120.0,1
50.0,41.0,85.0,2363.41,47.5,-68.4,120.0,1
50.0,41.0,85.0,2363.41,47.5,-66.25,120.0,1
50.0,41.0,85.0,2363.41,47.5,-67.78,120.0,1
50.0,41.0,85.0,2363.41,51.0,-66.25,120.0,1
50.0,41.0,85.0,2363.41,51.0,-67.55,120.0,1
50.0,41.0,85.0,2363.41,64.0,-67.55,120.0,1
50.0,41.0,85.0,2363.41,51.0,-73.28,120.0,1
50.0,41.0,85.0,2363.41,64.0,-88.16,120.0,1
50.0,41.0,85.0,2363.41,64.0,-89.0,120.0,1
50.0,41.0,110.0,2363.41,64.0,-89.0,120.0,1
50.0,41.0,120.0,2363.41,64.0,-89.0,120.0,1
50.0,41.0,120.0,2361.1,64.0,-89.0,120.0,1
50.0,41.0,120.0,2356.46,64.0,-89.0,120.0,1
50.0,41.0,120.0,2356.46,64.0,-89.0,120.0,1
50.0,41.0,120.0,2351.83,64.0,-89.0,120.0,1
50.0,41.0,120.0,2347.2,64.0,-89.0,120.0,1
50.0,41.0,120.0,2342.56,64.0,-89.0,120.0,1
50.0,41.0,120.0,2337.93,64.0,-89.0,120.0,1
50.0,41.0,120.0,2333.29,64.0,-89.0,120.0,1
50.0,41.0,120.0,2333.29,58.0,-89.0,120.0,1
50.0,41.0,120.0,2333.29,58.0,-86.41,120.0,1
50.0,41.0,120.0,2333.29,58.0,-74.21,120.0,1
50.0,41.0,120.0,2333.29,58.0,-69.42,120.0,1
50.0,41.0,120.0,2333.29,63.0,-69.42,120.0,1
50.0,41.0,120.0,2333.29,58.0,-71.6,120.0,1
50.0,41.0,120.0,2333.29,63.0,-76.96,120.0,1
50.0,41.0,120.0,2333.29,63.0,-80.84,120.0,1
50.0,41.0,120.0,2333.29,63.0,-79.76,120.0,1
50.0,41.0,120.0,2333.29,63.0,-74.65,120.0,1
50.0,41.0,120.0,2333.29,65.0,-74.65,120.0,1
50.0,41.0,120.0,2333.29,63.0,-75.52,120.0,1
50.0,41.0,120.0,2333.29,65.0,-78.35,120.0,1
50.0,41.0,120.0,2333.29,65.0,-77.38,120.0,1
50.0,41.0,117.0,2333.29,65.0,-77.38,120.0,1
50.0,41.0,117.0,2333.29,65.0,-73.43,120.0,1
50.0,41.0,117.0,2333.29,67.0,-73.43,120.0,1
50.0,41.0,117.0,2333.29,65.0,-74.29,120.0,1
50.0,41.0,116.0,2333.29,67.0,-74.29,120.0,1
50.0,41.0,116.0,2333.29,67.0,-73.99,120.0,1
50.0,41.0,116.0,2333.29,67.0,-74.24,120.0,1
50.0,41.0,116.0,2333.29,67.0,-70.36,120.0,1
50.0,41.0,116.0,2333.29,68.0,-70.36,120.0,1
50.0,41.0,116.0,2333.29,68.0,-72.13,120.0,1
50.0,41.0,116.0,2333.29,68.0,-71.6,120.0,1
50.0,41.0,118.0,2333.29,68.0,-71.6,120.0,1
50.0,41.0,118.0,2333.29,68.0,-73.88,120.0,1
50.0,41.0,118.0,2333.29,68.0,-73.11,120.0,1
50.0,41.0,118.0,2333.29,68.0,-69.27,120.0,1
50.0,41.0,118.0,2333.29,68.0,-70.58,120.0,1
50.0,41.0,118.0,2333.29,68.0,-72.89,120.0,1
50.0,41.0,118.0,2333.29,68.0,-71.39,120.0,1
50.0,41.0,118.0,2333.29,68.0,-66.91,120.0,1
50.0,41.0,118.0,2333.29,68.0,-67.44,120.0,1
50.0,41.0,118.0,2333.29,68.0,-71.36,120.0,1
50.0,41.0,118.0,2333.29,68.0,-70.84,120.0,1
50.0,41.0,118.0,2333.29,68.0,-66.46,120.0,1
50.0,41.0,118.0,2333.29,68.0,-66.98,120.0,1
50.0,41.0,118.0,2333.29,69.0,-66.98,120.0,1
50.0,41.0,118.0,2333.29,69.0,-72.98,120.0,1
50.0,41.0,118.0,2333.29,69.0,-74.01,120.0,1
50.0,41.0,118.0,2333.29,69.0,-72.95,120.0,1
50.0,41.0,118.0,2333.29,69.0,-65.87,120.0,1
50.0,41.0,118.0,2333.29,69.0,-66.38,120.0,1
50.0,41.0,118.0,2333.29,69.0,-71.59,120.0,1
50.0,41.0,118.0,2333.29,69.0,-71.88,120.0,1
50.0,41.0,118.0,2333.29,69.0,-71.86,120.0,1
50.0,41.0,119.0,2333.29,69.0,-71.86,120.0,1
50.0,41.0,119.0,2333.29,69.0,-77.55,120.0,1
50.0,41.0,119.0,2333.29,69.0,-78.05,120.0,1
50.0,41.0,119.0,2333.29,69.0,-76.24,120.0,1
50.0,41.0,119.0,2333.29,69.0,-77.02,120.0,1
50.0,41.0,119.0,2333.29,69.0,-79.84,120.0,1
50.0,39.0,104.0,2169.23,58.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,58.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,58.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,58.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,58.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,58.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,58.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,65.0,-45.0,120.0,1
50.0,39.0,104.0,2169.23,58.0,-48.71,120.0,1
50.0,39.0,104.0,2169.23,65.0,-88.69,120.0,1
50.0,39.0,104.0,2169.23,65.0,-88.69,125.0,1
50.0,39.0,110.0,2169.23,65.0,-88.69,125.0,1
50.0,39.0,110.0,2169.23,64.0,-88.69,125.0,1
50.0,39.0,120.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,120.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,120.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,120.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,120.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,120.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,120.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,130.0,2148.46,55.0,-88.96,120.0,1
50.0,39.0,130.0,2148.46,60.0,-88.96,120.0,1
50.0,39.0,130.0,2148.46,35.0,-88.96,120.0,1
50.0,39.0,130.0,2148.46,35.0,-77.46,120.0,1
50.0,39.0,130.0,2148.46,35.0,-77.74,120.0,1
50.0,39.0,130.0,2148.46,35.0,-77.14,120.0,1
50.0,39.0,130.0,2148.46,35.0,-81.53,120.0,1
50.0,39.0,130.0,2148.46,45.0,-77.14,120.0,1
50.0,39.0,130.0,2148.46,45.0,-81.64,120.0,1
50.0,39.0,130.0,2148.46,45.0,-83.02,120.0,1
50.0,39.0,130.0,2148.46,48.0,-81.64,120.0,1
50.0,39.0,130.0,2148.46,48.0,-86.76,120.0,1
50.0,39.0,130.0,2148.46,48.0,-88.2,120.0,1
50.0,39.0,130.0,2148.46,51.0,-86.76,120.0,1
50.0,39.0,130.0,2148.46,51.0,-89.0,120.0,1
50.0,39.0,130.0,2148.46,54.0,-89.0,120.0,1
50.0,39.0,130.0,2148.46,65.0,-89.0,120.0,1
50.0,39.0,130.0,2148.46,45.0,-89.0,120.0,1
50.0,39.0,130.0,2148.46,45.0,-87.13,120.0,1
50.0,39.0,130.0,2148.46,45.0,-87.71,120.0,1
50.0,39.0,130.0,2148.46,45.0,-89.0,120.0,1
50.0,39.0,130.0,2148.46,50.0,-87.71,120.0,1
50.0,39.0,130.0,2148.46,55.0,-89.0,120.0,1
50.0,39.0,130.0,2148.46,58.0,-89.0,120.0,1
50.0,39.0,120.0,2148.46,58.0,-89.0,120.0,1
50.0,39.0,120.0,2148.46,58.0,-88.31,120.0,1
50.0,39.0,120.0,2148.46,58.0,-87.91,120.0,1
50.0,39.0,120.0,2148.46,61.0,-87.91,120.0,1
50.0,39.0,120.0,2148.46,58.0,-89.0,120.0,1
50.0,39.0,120.0,2148.46,61.0,-88.53,120.0,1
50.0,39.0,120.0,2148.46,61.0,-85.68,120.0,1
50.0,39.0,120.0,2148.46,61.0,-84.31,120.0,1
50.0,39.0,120.0,2148.46,59.0,-85.68,120.0,1
50.0,39.0,120.0,2148.46,59.0,-83.14,120.0,1
50.0,39.0,120.0,2148.46,59.0,-79.2,120.0,1
50.0,39.0,120.0,2148.46,59.0,-79.15,120.0,1
50.0,39.0,120.0,2148.46,35.0,-79.15,120.0,1
50.0,39.0,120.0,2148.46,35.0,-63.41,120.0,1
50.0,39.0,120.0,2148.46,35.0,-62.06,120.0,1
50.0,39.0,120.0,2148.46,35.0,-70.73,120.0,1
50.0,39.0,120.0,2148.46,55.0,-62.06,120.0,1
50.0,39.0,120.0,2148.46,55.0,-70.25,120.0,1
50.0,39.0,120.0,2148.46,55.0,-71.61,120.0,1
50.0,39.0,120.0,2148.46,58.0,-70.25,120.0,1
50.0,39.0,120.0,2148.46,58.0,-74.55,120.0,1
50.0,39.0,120.0,2148.46,59.0,-74.55,120.0,1
50.0,39.0,120.0,2148.46,59.0,-73.52,120.0,1
50.0,39.0,120.0,2148.46,59.0,-74.01,120.0,1
50.0,39.0,120.0,2148.46,61.0,-74.01,120.0,1
50.0,39.0,120.0,2148.46,61.0,-81.27,120.0,1
50.0,39.0,120.0,2148.46,65.0,-81.27,120.0,1
50.0,39.0,120.0,2148.46,61.0,-83.14,120.0,1
50.0,39.0,120.0,2148.46,65.0,-88.84,120.0,1
50.0,39.0,120.0,2148.46,65.0,-88.97,120.0,1
50.0,39.0,120.0,2148.46,62.0,-88.97,120.0,1
50.0,39.0,120.0,2148.46,65.0,-87.67,120.0,1
50.0,39.0,120.0,2148.46,62.0,-85.91,120.0,1
50.0,39.0,120.0,2148.46,62.0,-84.76,120.0,1
50.0,39.0,120.0,2148.46,60.0,-84.76,120.0,1
50.0,39.0,120.0,2148.46,62.0,-83.81,120.0,1
50.0,39.0,120.0,2148.46,60.0,-79.52,120.0,1
50.0,39.0,120.0,2148.46,60.0,-76.43,120.0,1
50.0,39.0,110.0,2148.46,60.0,-76.43,120.0,1
50.0,39.0,110.0,2148.46,60.0,-68.72,120.0,1
50.0,39.0,110.0,2148.46,60.0,-55.38,120.0,1
50.0,39.0,110.0,2148.46,65.0,-68.72,120.0,1
50.0,39.0,110.0,2148.46,65.0,-68.54,120.0,1
50.0,39.0,110.0,2148.46,65.0,-67.72,120.0,1
