VYP batch,Run
32_2020_04_17,good
33_2020_04_17,good
38_2020_04_17,good
39_2020_04_21,good
41_2020_04_21,good
42_2020_04_21,good
43_2020_04_21,low_bad
44_2020_04_21,good
45_2020_04_21,good
46_2020_04_21,high_bad
56_2020_04_23,good
57_2020_04_23,low_bad
58_2020_04_23,good
59_2020_04_23,low_bad
60_2020_04_23,good
61_2020_04_24,high_bad
62_2020_04_24,good
63_2020_04_24,high_bad
64_2020_04_24,high_bad
52_2020_04_24,high_bad
71_2020_04_24,high_bad
72_2020_04_28,good
73_2020_04_28,good
74_2020_04_28,good
75_2020_04_28,good
76_2020_04_28,low_bad
77_2020_04_28,good
78_2020_04_28,low_bad
80_2020_04_29,high_bad
81_2020_04_29,high_bad
82_2020_04_29,high_bad
83_2020_04_29,high_bad
84_2020_04_29,high_bad
85_2020_04_29,high_bad
86_2020_04_29,good
87_2020_04_30,high_bad
88_2020_04_30,high_bad
89_2020_04_30,good
90_2020_04_30,good
91_2020_04_30,good
1_2020_04_30,good
2_2020_05_04,good
3_2020_05_04,good
4_2020_05_04,high_bad
5_2020_05_04,high_bad
6_2020_05_04,low_bad
7_2020_05_05,good
8_2020_05_05,low_bad
37_2020_05_11,high_bad
38_2020_05_11,high_bad
39_2020_05_11,good
40_2020_05_12,low_bad
41_2020_05_12,high_bad
42_2020_05_12,high_bad
43_2020_05_12,good
44_2020_05_12,good
45_2020_05_12,good
46_2020_05_12,good
47_2020_05_13,good
48_2020_05_13,good
49_2020_05_13,high_bad
75_2020_05_19,good
76_2020_05_19,high_bad
77_2020_05_19,good
78_2020_05_20,high_bad
79_2020_05_20,high_bad
80_2020_05_20,high_bad
81_2020_05_20,high_bad
82_2020_05_20,good
83_2020_05_20,good
84_2020_05_20,low_bad
85_2020_05_21,low_bad
86_2020_05_21,good
87_2020_05_21,good
88_2020_05_21,good
89_2020_05_21,high_bad
90_2020_05_21,good
91_2020_05_21,high_bad
13_2020_06_03,good
14_2020_06_03,low_bad
15_2020_06_03,low_bad
16_2020_06_03,low_bad
17_2020_06_03,high_bad
18_2020_06_04,high_bad
19_2020_06_04,high_bad
20_2020_06_04,good
21_2020_06_04,good
22_2020_06_04,low_bad
23_2020_06_04,high_bad
24_2020_06_10,high_bad
25_2020_06_10,high_bad
26_2020_06_10,high_bad
27_2020_06_10,high_bad
28_2020_06_11,high_bad
29_2020_06_11,good
30_2020_06_11,high_bad
32_2020_06_11,good
31_2020_06_11,high_bad
33_2020_06_11,high_bad
34_2020_06_11,good
35_2020_06_11,high_bad
36_2020_06_11,good
37_2020_06_11,low_bad
38_2020_06_12,good
39_2020_06_12,good
40_2020_06_12,good
41_2020_06_12,good
42_2020_06_15,low_bad
43_2020_06_15,good
45_2020_06_15,good
46_2020_06_15,good
47_2020_06_16,good
48_2020_06_16,low_bad
49_2020_06_16,low_bad
50_2020_06_16,good
51_2020_06_16,good
53_2020_06_16,high_bad
54_2020_06_17,low_bad
55_2020_06_17,good
44_2020_06_17,good
58_2020_06_17,high_bad
59_2020_06_17,high_bad
60_2020_06_17,high_bad
61_2020_06_17,good
62_2020_06_18,good
63_2020_06_18,low_bad
64_2020_06_18,high_bad
65_2020_06_18,high_bad
66_2020_06_18,high_bad
67_2020_06_18,high_bad
81_2020_06_23,low_bad
82_2020_06_23,low_bad
83_2020_06_23,low_bad
84_2020_06_23,low_bad
85_2020_06_24,good
86_2020_06_24,good
87_2020_06_24,good
88_2020_06_24,good
89_2020_06_24,good
90_2020_06_24,high_bad
91_2020_06_24,high_bad
92_2020_06_25,high_bad
93_2020_06_25,high_bad
94_2020_06_25,high_bad
95_2020_06_25,good
96_2020_06_25,good
97_2020_06_25,low_bad
98_2020_06_25,low_bad
97_2020_06_25,good
99_2020_06_25,high_bad
100_2020_06_25,low_bad
